,korean,english
62,우리 내년에 갈 유럽 여행은 언제 어느 계절이 가장 좋을까? ,When do you think is the best season for next year's Europe trip?
63,모두가 당신이 좋은 사람이라고 말했어요.,Everyone said you are a good person.
64,이 우유 팩은 한국 사람이 발명했어요.,This milk pack is invented by a Korean.
65,저희가 소개할 주제는 신재생에너지이예요.,The topic we'll be talking about is renewable energy.
66,나는 끊임없이 다른 일을 하려고 준비해요.,I continuously prepare for another job.
67,요즘은 개성의 시대이고  자유가 가장 우선되어지는 시대이예요.,"Today is the era of individuality, and freedom is put first."
68,사진 한 장 찍을 정도는 될 거야. 부탁드리고 올게. 기다려. ,I think it'd be enough for a single picture. Let me ask. Wait.
69,여기서 가장 가까운 한국대사관은 어디에 있나요?,Where is the closest Korean embassy from here?
70,나도 그렇게 생각해. 이 거리에는 맛있는 레스토랑이 많다고 들었어. ,I think so too. I heard there are many nice restaurants on this street.
71,"1박에 120,000원인 방으로 예약 부탁드립니다. 그날 하루만 묵을 예정입니다.","Please make a reservation for a room of 120,000 won per night. I am planning to stay for one day."
72,급한 건 아닌데 혹시 오늘 안되면 내일 가능한지 묻고 싶어서요.,"I'm not in a hurry but if it doesn't work today, I'd like to ask if it's possible tomorrow."
73,지금 입장해야 하는데 잃어버리면 어떡해!,We have to go in now but how could you lose it!
74,네 신발 안에 모래가 많이 있어.,There is so much sand in your shoe.
75,한 기업의 회장이 마약이라니 정말 꼴불견이구나. ,For the CEO of a company to do drugs! What nonsense.
76,그래서 광택이 많이 날수록 좋아요.,"Therefore, the more gloss it is, the better."
77,당신이 친구하고 오는 것을 우리는 환영해요.,We welcome your coming with your friend.
78,작동에 대한 완벽한 테스트를 해야 해요.,Have to take a perfect test on working.
79,그 나무 옆에 서 있는 여자는 스트레스 때문에 힘들어 해요.,The woman standing next to the tree is stressed out.
80,아마 이번 8월정도에 갈 수 있을 것 같아.,I think I can go to America maybe August.
81,대리인이 사진을 가지고 와도 돼요.,A representative can bring the picture.
82,손님이 새 항공권을 가지고 나올 것이예요.,The guest will bring the new flight ticket.
83,"출장경비신청서를 작성해서 부장님, 이사님께 결재받으세요.","Also, you should fill out the application form for the travel expenses and get an approval from the director and executive director."
84,필기 시험 준비는 다 마치셨나요?,Are you done getting ready for the writing test?
85,네 것 맛있어 보인다. 여기선 처음 시킨 음식이지? 맛이 어때?,"Yours look good. It's the first time you've ordered it here, right? How is it?"
86,기타를 잘 치는 사람 들은 새벽을 좋아하는 것 같아.,I think good guitar players like early morning.
87,휴대폰 케이스를 사보는 건 어때?,Why don't you get a new phone case?
88,저는 그 중에서 여수의 훌륭한 기후를 소개하겠어요.,Let me introduce you to Yeosu's great climate.
89,그렇게 다양한 행사가 있진 않지만 볼만은 해요.,There are not many events but they are worth watching.
90,혹시 호텔 셔틀버스에서 무선인터넷을 사용할 수 있나요?,Can we use the wireless Internet in the hotel shuttle bus?
91,다음 주 선적 요청을 내일 아침까지 보내 주세요.,Send the next week's shipping request by tomorrow morning.
92,재무팀 장동원매니저님이시죠? 저 다름이 아니라 출장경비 관련해서 여쭤볼게 있어서요.,Is this Mr. Dong-won Jang from finance team? I actually have a question to ask regarding travel expenses.
93,"동양 의학이 좋으세요, 아니면 서양 의학이 좋으세요?","Which do you prefer, Western medicine or Chinese medicine?"
94,감사합니다. 신입생이라 아직 건물에 익숙하지가 않네요.,"Thanks, I'm not used to the buildings because I'm a freshman."
95,하지만 최근에 환경법이 엄격해져서 결국에는 손해일 수도 있습니다.,"However, recently the environmental laws became stricter so it may be a loss in the end."
96,"네, 노란색 택시는 일반택시이고 검은색 택시는 고급택시입니다.","Yes, the yellow taxi is a regular cab and the black taxi is a premium one. "
97,부산에는 많은 관광 명소들이 있어.,There are many tourist attractions in Busan.
98,당신의 목적은 집을 짓는 것이었어요.,Your purpose was to build a house.
99,두번째 체인호텔의 가속화 이예요.,"Second, acceleration of chain hotel."
100,방금 바로 수술을 하고 나왔기 때문에 자주 와서 활력 징후를 측정할게요.,We will be coming often to check your vital signs as you just got out of surgery.
101,"제가 지금 공항에 왔는데, 이렇게 큰돈은 은행에 가서 환전해야 한다고 하네요.","I am at the airport now, but this large amount of money can be only changed at the bank."
102,나는 너가 퇴원할 때까지 푹 쉬기를 바라.,I want you to rest until you get out of the hospital.
103,그럼 위탁 수하물 관련 금지 물품 알려드릴게요. ,Then let me tell you the list of prohibited items on the flight.
104,저의 성격은 밝고 친절하지만 소극적인 면이 조금 있어요.,I'm bright and kind but also have some passive sides.
105,우리는 찬양하고 우리의 삶을 노래해요.,We praise and sing a song of our life.
106,계속 통화 중이라 전화가 안 되는군요.,The line is continuously busy and I can't get through.
107,현실적으로 어떻게 파산을 피할 수 있을까요?,How can we avoid bankruptcy as a matter of reality?
108,제 컴퓨터에서 남바역 가이드가 열리지 않아요.,I can't open the Namba Station Guide on my computer.
109,대표님께서 당분간 재택근무 어떻겠냐고 그러세요.,The CEO suggested freelance work for a couple of days.
110,"그럼, 오후에 와서 아이 들과 놀아 줄래요?","Then, can you play with the children in the afternoon?"
111,"나한테 털어놓고,내 앞에서 울어, 휘경아.",Just spill it out to me and cry infront of me HuiKyeong.
112,당신이 피곤해 하고 힘들어 하면 나도 힘들어.,"If you are tired and stressed out, so am I."
113,제가 어제 핸드폰을 구매했는데 보험에 가입해도 될까요?,"I bought a cell phone yesterday, may I also get insurance?"
114,위 아이템들의 스왓치를 보내줄수있습니까?,Would you send me swatches of the items above?
115,펀팔라스는 가변적인 장치가 있지만 스타필즈는 그렇지 않아.,FunPalace is variant of devices but Starfields is not.
116,그리고 신용카드로 지불하실 거예요?,And will you be paying with a credit card?
117,모든 아이들은 별처럼 아름답게 빛날 수 있어.,All the children can shine beautifully as a star.
118,제가 보기에 그 정도면 아주 적절한 단가입니다. ,I think this is a very reasonable price.
119,교수님도 같이 갔으면 좋았을 텐데.,I wish the professor could go with us.
120,좋습니다. 케이크랑 카드를 준비하는 건 어떨까요?,Sounds good. How about preparing a cake and a card?
121,환자 1명당 차량 1대 등록하시면 무료로 이용 가능합니다.,"If you register 1 car per 1 patient, you can use it for free."
122,피부에 좋지 않은 날씨가 계속되네요.,The weather is still bad for your skin.
123,맞아. 우리 누나는 채식 전문 음식점 주방장이야.,That's right. My sister is a chef at a vegetarian restaurant.
124,부산은 우리 엄마가 있는 곳이기도 해.,Busan is also where my mother lives.
125,내가 지금 준비하거나 처리해야 할 것이 있습니까?,Is there anything that I can get ready for or figure out now?
126,일요일 아침에 교회에 가야 되서 말이야.,Because I have to go to chuch on Sunday morning.
127,너는 출근 준비하느라 바쁘겠네요.,You must be busy preparing tfor work.
128,발표자가 발표를 위해서 준비를 많이 하지 않았던 것 같아.,I don't think the presenter prepared a whole lot for the presentation.
129,남은시간 즐겁게 보내셨으면 좋겠어요!,I hope you enjoy the rest of your stay here!
130,여기에서 #백악관#까지 요금이 얼마나 나올까요?,How much will it come out to be from here to the #White House#?
131,나는 물리학 시험이 특히 걱정이야.,I'm particularly worried about the physics test.
132,평소엔 필리핀 언어를 사용하세요.,Please use the Philippine language usually.
133,제가 저 분의 보험사 알아내서 전화해 볼 거요.,I'll get his insurance company name and call them. 
134,그건 정말 자신의 몸 상태에 따라서 달라요. ,That really differs according to the status of the body.
135,물론입니다. 추가 결제하면 10만 원입니다.,"Of course. The additional cost is 100,000 won."
136,여행 중에 많은 사업가들과 친분을 맺었어요.,I made friends with a lot of business people on my trip.
137,그들은 복잡한 분자 구조 모형을 조립하고 있어.,They are assembling a complicated molecule structure model.
138,나는 가장 중요한 키워드는 변화라고 생각해요.,I think the most important keyword is innovation.
139,그 섬에서 여행하려면 차를 렌트하는 게 제일 나아.,It's best to rent a car to travel on the island.
140,서비스로 드릴게요. 제 맞은편에 앉아주세요.,I give one to you for free. Please sit on the opposite side.
141,한국에는 가을비가 내리는 아침이예요.,It's the morning with Autumn rain in Korea.
142,그녀는 휴대폰을 오른손으로 잡고 있어요.,She is holding her cellphone on her right hand.
143,여수는 한국의 전라남도에 위치해 있어.,Yeosu is located in North Jeolla Province in Korea.
144,그리고 배송확인은 인터넷에서 확인부탁드려요.,"Also, you will be able to track the delivery on the internet."
145,정확한 측정을 통해 약이 처방됩니다. 옆에서 키랑 몸무게를 재볼게요.,Medicines are prescribed through accurate measurements. We will measure your height and weight here on the side.
146,현명한 사람은 말 할 때인지 아닌지 알고 있어.,A wise person knows whether he should talk or not.
147,지금 선박 회사에 문의했고 그 결과를 기다리는 중이예요.,I asked to the shipping company and wait for the answer.
148,여기 안내 책자를 읽어보면 아시겠지만 여기서 출발하여 서울 유명 관광지를 다 돌고 다시 돌아오는 코스입니다. 하루 반나절 정도 걸려요.,"As you can see by reading this information booklet, it departs from here and comes back after touring all the famous tourist attractions of Seoul. It takes about a half-day."
149,기자랑 단독 인터뷰를 하면서 동양인 비하하는 발언을 했나 봐.,He degraded Asians during the exclusive interview with a reporter.
150,한국 역시 환경 문제로 잡음이 많은 편인데요.,The pollutions also occures  in  Korea.
151,저는 이 전략이 우리의 최선이라고 생각하지 않습니다.,I do not think that this strategy is our best.
152,그들의 요청을 적용한 샘플을 보내 달라.,Send their requests to apply for a sample.
153,거품이 오랫동안 유지되기 때문에 오랫동안 촬영을 할 수 있어요.,The foam lasts long that they can take pictures longer.
154,한국의 의료관광에 관해 알고있나요?,Do you know about medical tourism in Korea?
155,자신의 분야에서 최고가되는것이라고 생각해요.,I think that's becoming the best in one's field.
156,저는 어렸을 때 부터 교회를 다녀왔어요.,I went to the church from a very young age.
157,나는 너의 친절함 을 알고 있어.,I already heard about your kindness.
158,선교사는 아이 들을 돕는데 이익금을 사용해요.,The missionary uses the profit to help kids.
159,군대 가기 전이 술을 많이 마시는 것 같아.,Seem to drink too much before going to the military.
160,한국 가기 전에 잠깐이라도 봐야 하는데.,I should see you before I go to Korea.
161,바탕 카스까지 가는데 걸리는 시간은요?,How long dose it take to get to Batangcas?
162,그럼 회의 끝나고 한국 식당에서 저녁 같이 드시죠.,Then let's have a dinner together at a Korean restaurant after the meeting.
163,나는 초행길이라서 좀 긴장을 했어요.,I was a bit nervous because it was my first time here.
164,그녀는 그녀의 코 골절 때문에 병원에 갔어.,She went to the hospital for her broken nose.
165,나는 바보같이 당신이 진심 인줄 알았어.,I was so foolish to think that you were being honest.
166,이 곳 음식이 그녀에게 친숙하지 않아.,The food around here isn't familiar with her.
167,그렇게 하면 비용이 얼마 정도 들까요?,How much will that cost?        
168,그러나 힘들지 않은 것은 아니야.,But it doesn't mean it is not hard.
169,학교 이메일 시스템이 이상한 것 같아. 메일이 안 보내져.,The school email system is weird. I can't send emails.
170,필요한 게 있음 나에게 말해 줘요.,Please let me know if you need something.
171,그렇다면 너무 진하지 않게 깔끔하게 보이게 해주세요. ,Then please apply natural makeup that could make me look neat.
172,항상 친절히 응대해 주셔서 감사해요.,Thank you for showing me much kindness always.
173,채널을 2번으로 맞추시면 일본어가 나옵니다.,Tune your channel to no. 2 and you can hear Japanese.
174,그리고 트럭과 휠의 브랜드도 알려주세요.,And please let me know the brand of truck and wheel.
175,안주로 먹을 과자 같은 게 좀 필요한데. 어떻게 하죠?,I need some bites to eat for beer snack. What should I do?
176,당연히 내가 한 행동의 책임은 내가 지는 것이 옳다고 생각해요.,Of course I think I am responsible for what I did.
177,토요일에 서울에 갔다와서 잠을 많이 잔 거 같아.,I got lots of sleep when I came back from Seoul on Saturday.
178,나는 운동장을 걸으면서 미래에 대한 생각을 해요.,I walk around the playground and think about my future.
179,"친구랑 친구 엄마를 길에서 마주쳤는데, 부끄러워서 인사를 잘 못 했어요.",I bumped into my friend and her mom on the street. I didn’t say hello properly because I was shy.
180,이 무거운 짐을 도와주실 분 없나요?,Can I find anyone to help me carry this heavy suitcase?
181,이번 출장 너무 수고 많았어. 공항버스 힘들면 택시 타고 집에 와.,"You did really great on this business trip. If you are tired, take a taxi home rather than the airport bus."
182,주인공들 못지않게 환하게 빛나고 있지않나요?,Aren't they as shiny as main characters?
183,그렇다면 2층 조리실에 가서 요리하고 설거지는 그 옆에서 하면 돼. ,Then you can cook in the kitchen on the second floor and do the dishes there.
184,최근 진행 중인 애플과 삼성 사이의 법정 공방에 대해 어떻게 생각하십니까?,What is your opinion on the recent lawsuit between Apple and Samsung?
185,그는 집에 오면 소피 이야기를 많이 해요.,"When he comes home, he talks a lot about Sophie."
186,다음 월급날 그 술집에서 계산을 할 것이 있어요.,I have to pay my tab at the bar next payday.
187,공항이 너무 넓죠? 환전소는 오른쪽으로 쭉 가시면 바로 있어요. ,Isn't the airport too big? The currency exchange station is on the right and continue straight.
188,다른 학교에 가서 수업을 듣는 것입니다. 강의시간표에서 확인할 수 있어요. ,You can take classes by going to another school. Check your class timetable.
189,넌 그냥 날 바라봐주고 그대로 느껴줘.,Please just look at me and accept me for who I am.
190,우리 엄마는 매일 아침 기독교 채널을 틀어놓고 찬송가를 부르셔. ,My mom always sings the hymn to the Christian channel every morning.
191,교수님은 올해 건강검진을 받으셔야 한다는 내용이예요.,It means you have to get a health checkup this year.
192,왜 여섯 명의 아이들을 입양하기로 했나요?,Why did you decide to adopt six children?
193,스트레스는 현대인에게 가장 많이 노출되어 있어.,Modern people are very exposed to stress.
194,독도가 왜 우리 땅 인지 아시나요?,Do you know why Dokdo is our land?
195,그러나 사랑하는 남편이 있는데 그런 건 문제가 되지 않아.,"But I have a loving husband, that isn't a problem."
196,그러자. 내가 러시아 환전소를 이용하게 되는 날도 오네. ,Let's do that. I didn't think I would ever use a Russian currency exchange station.
197,당신이 사용하던 전화기는 나를 주기로 했어요.,The phone you have used was supposed to be given to me.
198,그렇게 인기가 많을 줄 몰랐어.,Never expected that they are popular that much.
199,체크인은 몇 시부터 할 수 있나요?,What time can I check-in?
200,나는 그를 친한 친구로 생각 하지만 존경 하기도 해요.,"I think of him as a friend, but also to admire."
201,B 코너에 가면 있습니다.,It is in section B.
202,나는 너가 이것을 가지고 있다면 너의 것을 찍어서 보여 주길 원해요.,"If you have this, please take a picture and send it to me."
203,왜 사람 들은 나는 항상 괜찮다고 생각할까?,Why do people think that I'm always fine?
204,시장 점유율이 올랐기 때문이에요.,It is because the market share was increased.
205,책을 읽으면 지식을 쌓을 수 있어.,"If you read the book, you can build up knowledge."
206,당신의 아버지 나라가 어디입니까?,What country did your dad come from?
207,"대단하시네요, 기말고사 평균을 몇 점 이상 받으셔야 하나요?","Excellent, what is the average point that you should get for your finals?"
208,감사합니다. 잠시 다녀와도 될까요?,Thank you. Can I go there for a while?
209,제가 급해서 제품을 사용하고 있어서 충전기만 빨리 보내주시길 바랍니다.,I am in a hurry and I am already using the product so please send the charger as soon as possible.
210,언제까지 받을 수 있는지 대답을 듣고 싶은 거예요.,I would like to hear an answer on when I can receive it.
211,나는 내 꿈을 위해 가끔 친척 동생 들을 돌보고 있어.,I am taking care of my related younger sisters for my dream.
212,눈으로 확인할 수 있어 믿을 수 있어.,I can believe it because I can see it in my eyes.
213,"스쿼트를 45개나 한다니, 나는 절대 못 할 양이야. ",45 squats? I could never do that.
214,가능합니다. 하지만 소액의 현금도 가지고 있는 편이 좋으실 거예요.,"Yes, you may, but I also recommend that you carry a bit of cash."
215,고양이를 돌보느라 시간이 없으셨던 건 이해합니다만 앞으로 자주 나오셔야 해요. ,"I understand you didn't have enough time taking care of the cat, but you should come more often."
216,물론 중요하지 하지만 그게 전부는 아니야.,That's important but that is not it.
217,나의 꿈의 집은 드라마 같은 집이예요.,My dream house is a dramatic house.
218,당신들이 우리의 이미지를 무단으로 사용하고 있는 것을 발견했어요.,We found you are using our images without permission.
219,청주에 도착해서 우리는 ‘육쌈냉면’을 먹었어.,At Cheongju we had 'Yukssamnaengmyeon'.
220,제가 어떤 정거장에서 멈춰야 하나요?,Which station do I have to stop at?
221,경제적으로 여유롭게 해주신 부모님께 너무 감사해요.,I am so thankful for my parents who support me financially.
222,없다면 마스타 다이렉트 비엘로 진행 해야해요.,"If it isn't, you have to proceed by MasterCard Direct Biel."
223,이 실습은 제가 꿈을 이루기 위한 첫 계단이예요.,This practice is the first step to making my dreams come true.
224,공식 포스터와 배너는 이번주까지 모두 완성될 예정이예요.,Official posters and banners will be completed by this week.
225,우리 사이트에서 당신이 원하는 디자인을 선택해주세요.,Please select a design you want from our site.
226,생일이었군요. 저는 아쉽지만 정말 축하드려요.,"Oh, it's your birthday. It is a shame that you can't come but happy birthday."
227,이영화는 나에게 약간 지루한 것처럼 보이예요.,This movie looks a little bit boring to me.
228,기획서가 완료되어 수요일에 검토를 진행하려고 합니다만 몇 시쯤이 좋을까요?,"The plan has been completed and I would like to proceed with the review on Wednesday, but what time would be good?        "
229,내일 인사 회의에 참석자 하기로 되어 있는 분들이 누구죠? ,Who are the ones that are supposed to attend the personnel meeting tomorrow? 
230,당신 회사 조직을 이야기 해줄 수 있나요?,Can you tell me about your company organization?
231,밥 먹는 것이 즐겁지 않을 것이예요.,It's not going to be funny to eat.
232,마지막으로 이 시계를 선물해주신 아버지께 감사해요.,Lastly I thank my father who gave this watch to me.
233,나는 면허증을 만들고 한국에 와야 해요.,I have to make a license and come to Korea.
234,여기 겨울에는 몇 시에 어두워져요?,What time does it get dark in winter here?
235,그때 저는 혼자 준비를 하기엔 너무 막막하였어요.,I did not have any clue when it came to preparing pn my own.
236,"그러고 보니, 오늘은 돈이 모자라는데요.","Come to think of it, I don't have enough money today."
237,꼭 만나서 대화를 나누고 싶어요.,We really want to meet you and have a conversation.
238,"제가 저녁에는 병원에 가 봐야 하는데, 언제쯤 끝날까요?","I have a doctor's appointment tonight, about when will it finish?"
239,검단 탑 종합병원은 어떤 곳인가요?,What kind of place is Gumdan Top General Hospital?
240,사랑스러운 꽃들도 당신의 파티를 더 아름답게 물들여 줄 것이예요.,Lovely flowers will dye your party more beautifully.
241,출장중에 있었던 서포트에 감사드려요.,Thank you for your supports during my business trip.
242,당신은 뜻깊은 일을 하고 있어요.,You are doing something meaningful.
243,그래서 당신의 행동을 지켜만 볼 것이예요.,So I will only keep watching your behavior.
244,"네, 안녕하세요. 안그래도 저희 팀장님께서 연락이 올거라고 말씀해주셨어요.","Yes, hi. My manager actually told me that you'll be reaching out."
245,EU 콘퍼런스에는 몇 개 언어 통역이 제공되나요?,How many languages are provided for interpretation at the EU conference?
246,사전에 말씀드린 바와 같이 탈색하지 않으면 색이 조금 다를 수 있습니다. ,"As we told you earlier, without the hair bleach, the color can be slightly different."
247,벽 전체에 모자를 걸기 위한 못이 있었어.,All round the walls there were pegs for hats.
248,아직 팀원들이 작성하고 있습니다.,My teammates are on it.
249,매일 건강하게 지낼 수 있어서 행복해요.,I'm lucky to live in good health every day.
250,우리 매일 학교 갈 때 타던 버스의 배차 간격이 늘어난다고 들었어.,I heard that the interval of the bus we used to ride every day to school is getting longer.
251,그럼 14층까지 계단으로 올라가야 하나요?,So should I walk up to the 14th floor by stairs?
252,어떤 상황때문에 컨설팅이 필요해?,What kind of situation do you need consulting for?
253,좋은 소식이네. 공부하다가 배고프면 먹으면 되겠어.,Good news. We can get them when we're hungry while studying.
254,당신은 훌륭한 인간관계를 가졌군요!,I think you have a good relationship with other people!
255,너는 남은 인생을 멋지게 보내기를 원해요.,I hope you nicely spend the rest of your life.
256,그녀를 학교에서 만나기로 했는데 못 만났오.,I was supposed to meet her at school but I couldn't.
257,김씨이면 지금 중요한 미팅에 들어갔어요.,Mr.Kim is in an important meeting now.
258,새로 주문하신 것들은 새해부터 사용하시면 돼요.,You may use the newly ordered ones from the new year.
259,나는 오늘 독감이 걸린 것 같아서 병원에 갔어.,"Today, I went to the hospital as I felt like I caught flu."
260,지금 이용하고 계시는 스파는 원래 온도가 조금 높은 편이라서 조정이 불가합니다.,"The spa you're using now has originally a high temperature, so it's not controllable."
261,기업의 재무재표는 어디에서 확인할 수 있습니까?,Where can I check the company's financial statements?
262,배구에서 가장 중요한 것은 디펜스에요.,The most important thing in volleyball is defense.
263,추후에 더 큰사이즈도 제작할 예정이예요.,We are planning to produce larger sizes in the future.
264,죄송합니다. 인쇄하는 과정에서 실수가 있었나 봅니다.,I'm sorry. It looks like there was a mistake in the printing process.
265,전 항상 일본의 휴일을 잘 까먹어요.,I'm always having trouble keeping track of Japanese holidays.
266,훌륭한 선생님을 만나게 되어 아이들에겐 행운이에요.,It is lucky for kids to meet such a great teacher.
267,타이어 바람이 빠지는 거 같은데 체크해 줘.,"It seems like air leaks from tires, please check it out."
268,오늘보다 내일이 멋진 내가 될 것이에요.,I will be more awesome tomorrow than today.
269,첫번째로 회계공무원 시험을 합격하였어요.,"First, I passed the civil accountant exam."
270,"두 번째, 영웅들은 활약보다 크게 대우를 받지 못하고 있어.","Secondly, heroes are not treated well than their services."
271,우선 이번 모듈을 가르쳐 주셔서 정말 감사했어요.,"First of all, I really appreciate you teaching this module."
272,그 건물은 한 달전에 지어 졌어.,The building was built one month ago.
273,나는 같은 클래스 친구에게 초콜렛을 선물할 예정이예요.,I will give chocolate as a present to the friend in my class.
274,"너는 숙소를 결정할 때, 뭐가 제일 우선이야?",What's your top priority when choosing a hotel?
275,5월 중에 출장이 두 건이나 잡혔어.,I have to go on two business trips in May.
276,그리고 아이들에게 너의 기분에 따라 행동하는것도 하지마라.,"Also, don't treat the team based on your own mood."
277,아주 좋았어요. 직원들과 직원의 가족들이 매우 기뻐했어요.,It went well. All the employees and their families were really happy.
278,"음, 제게 3천만이 있다면, 저는 제 사업을 시작하지 않을까 싶어요.","Um, if I had thirty million, I might start my own business."
279,주문 할때 프레임디자인을 어떻게 정해서 주문하나요?,How can I order the setting of the frame design?
280,그래서 이후에도 지속적으로 너와 거래를 하고 싶어.,So I'd like to deal with you consistantly in the future.
